Disease,Study Name,Eligibility Criteria
Hypertension,Pulmonary Artery DenerVation Clinical Study Using the Gradient Denervation System in Heart Failure Patients With Pulmonary Hypertension,"Inclusion Criteria:

* Heart Failure with EF ≥ 40% (by TTE within last 3 months)
* Mean Pulmonary Artery Pressure (mPAP) \>20 mmHg at rest
* Pulmonary Vascular Resistance (PVR) ≥ 3WU at rest
* Pulmonary Capillary Wedge Pressure \> 15 mmHg (at rest) or \> 18 with passive leg raise
* Cardiac index (CI) ≥ 1.7 L/min/m2
* NYHA Class II or III
* Glomerular Filtration Rate (GFR) ≥ 25 ml/min
* N-terminal pro-B-type natriuretic peptide (NT-proBNP) ≥ 400pg/mL
* Stable, guideline directed medical treatment, including controlled volume status for a minimum of 3 months prior treatment

Exclusion Criteria:

* Inability to take dual antiplatelet or anticoagulants, hypersensitivity or allergy to aspirin or clopidogrel
* Pulmonary artery aneurysm, moderate or greater PA stenosis or other PA anatomy that would prevent safe or proper use of the study device
* Systemic infection or localized infection/rash at planned access site at time of procedure
* Myocardial infarction, unstable angina pectoris, or a cerebrovascular accident in the previous 3 months
* CRT or other Interventional cardiac procedure (except RHC) within last 3 months
* Any planned cardiac procedure or inpatient procedure within the next 30 days"
Hypertension,Cardiovascular Disease Mortality in The NAS-NRC Twin Registry,No eligibility criteria
Hypertension,Effects of Dark vs. White Chocolate on the Postprandial Increase in Portal Pressure in Cirrhosis,"Inclusion Criteria:

1. age over 18 years
2. diagnosis of cirrhosis (proven by biopsy or clinical, laboratory and imaging procedures)
3. presence of esophageal varices of any grade
4. HVPG ≥ 10 mmHg during the hemodynamic study

Exclusion Criteria:

1. food allergy to chocolate
2. ongoing treatment with ascorbic acid and/or other antioxidants
3. diffuse or multinodular hepatocellular carcinoma
4. pregnancy
5. advanced hepatic failure (defined as prothrombin ratio \< 40% and bilirubin \> 5 mg/dL)
6. renal failure (defined by a serum creatinine level \> 1.5 mg/dL)
7. portal vein thrombosis
8. cardiac or respiratory failure
9. previous surgical or transjugular intrahepatic portosystemic shunt"
Hypertension,First-In-Human Study of PDT to Detect IAH,"Inclusion Criteria:

* Patient volunteer planning for laparoscopic surgery
* Subjects willing to sign an informed consent form (ICF),
* Adult subjects, age ≥ 20 and age ≤ 80 years old
* BMI between 15（kg/m2）- 35（kg/m2）
* Subjects willing to comply to study protocol requirements (blood pressure measurement, diet, alcohol, study visits, blood sampling, etc.)
* Patient who had been scheduled for any laparoscopic surgery which may alter intra-abdominal pressure.
* Patient volunteer planning for laparoscopic surgery, as self-declared and confirmed by screening assessments and Principal Investigator's judgment

Exclusion Criteria:

* Patients with a high risk for capsule retention (such as intestinal diverticula, acute abdominal pain without regular defecation indicating intestinal obstruction or a history of abdominal operation or intestinal reconstructed operation),
* Any evidence that occlusion of gastrointestinal tract is obvious or severe paralytic ileus that may result in intra-abdominal hypertension in need of immediate surgical intervention not caused by base of tongue (i.e., central apnea, neurologic disorder, retropalatal collapse, nasal obstruction)
* Any condition that subject is expected to undergo MRI examination within 7 days after ingestion of the capsule.
* Any factor that, in the surgeon's judgment, would pose a risk to surgery or placement of an intra-gastrointestinal monitoring device
* Any factor that, in the surgeon's judgment, would make the subject unlikely to respond to PDT insertion and pressure measurement.
* Congenital anomalies of gastrointestinal tract or any other anatomical abnormality of the head, neck, chest, or abdomen that would be a contraindication to placement of the PDT device and usage of the external device
* There are no exclusion criteria based on gender, race or ethnicity
* Patients with a history of Crohn's disease i\* Patients with serious systematic diseases such as congestive heart failure, renal failure or severe liver disease.
* Any blood disorder identified by haematocrit \<30% or \>55%
* History of hepatitis B, hepatitis C, or HIV
* Subject has had prior abdominal surgery of the gastrointestinal tract other than uncomplicated procedures that would be unlikely to lead to bowel obstruction based on the clinical judgment of the investigator
* Female subjects who are pregnant, planning on becoming pregnant or nursing
* Any disorder, which in the investigator's opinion might jeopardise subject's safety or compliance with the protocol.
* Coagulation disorder, wound healing and bleeding disorder or taking anticoagulant medication
* The presence of any other active implanted device, such as cardiac pacemaker or other implanted electro medical devices.
* The presence of any other wireless sensor or transmitter located in abdomen (excluding compatible device also for pressure sensing and other location is acceptable)
* Impaired fasting glucose or impaired glucose tolerance (for Patient volunteer planning for laparoscopic surgery)
* Any contraindication to the use of the PDT system as listed in the device Instructions for Use (IFU) (i.e. any known allergy to PDMS)
* Subject has dysphagia"
Hypertension,Insulin Resistance in Pulmonary Arterial Hypertension,"Inclusion Criteria:

Patients with Pulmonary Arterial Hypertension (PAH) must be stable on therapy for at least 3 months prior to enrollment in the trial. We will include patients with idiopathic PAH and Familial PAH as well as PAH associated with collagen vascular disease or drug or toxin exposure. With the exception of PAH, subjects must be free of major medical illnesses, including diabetes mellitus (must have fasting plasma glucose \< 126 mg/dL and taking no anti-hyperglycemic agent), malignancy or significant hepatic or renal disease. Subjects may be hypertensive and on anti-hypertensive medications as long as blood pressure is \< 150/100 mm Hg. Subjects may also be dyslipidemic and/or taking drugs to improve abnormalities of lipid metabolism, but they will be excluded if they are taking medications known to alter insulin sensitivity, including glucocorticoids, niacin, anti-retrovirals, thiazolidinediones, or metformin. Use of oral contraceptives or estrogen and/or progesterone replacement therapy is permitted. Weight must be stable and the subjects agree not to change their eating habits or exercise regimen during the study period. There will be no restrictions with regard to race or socioeconomic status, and the racial/ethnic composition of the study population will be reflective of the communities surrounding the Stanford University Medical Center.

Exclusion Criteria:

\* Vulnerable subject status.

* Concurrent Endothelin-1 antagonist therapy
* Concurrent Thiazolidinedione therapy
* New York Heart Class III or IV
* PAH related to other etiologies.
* Diabetes Mellitus with Fasting Glucose Levels \> 126 mg/dL
* Allergy or hypersensitivity to pioglitazone or bosentan administration.
* Current treatment with statin therapy.
* Initiation of PAH therapy (prostacyclin analogues, phosphodiesterase-5 inhibitors) within three months of enrollment.
* Inability or unwillingness to avoid systemic steroid containing medications for four months. Inhaled steroid use is acceptable.
* Current or recent use or planned treatment with: glyburide, cyclosporine, nilotinib, nisoldipine, ranolazine, thioridazine
* Hepatic transaminases \> 2x the upper limit of normal at the center at screening.
* Current or recent (\< 6 months) chronic heavy alcohol consumption.
* Current use of another investigational drug (non-FDA approved) for PAH.
* Lung transplant recipients.
* History of myositis.
* Renal failure (Cr 2.0).
* Hospitalized or acutely ill.
* Chronic liver disease (cirrhosis, chronic hepatitis, etc.).
* Abnormalities of the arm or hand or radical mastectomy (preventing brachial artery ultrasound).
* Pregnant or lactating women."
Hypertension,3D CT Guidance for Transjugular Intrahepatic Portosystemic Shunt Creation,"Inclusion Criteria:

1. Cirrhosis
2. Scheduled for indicated TIPS procedure

Exclusion Criteria:

1. Presence of portal vein thrombosis
2. Presence of ascites
3. Presence of hepatic vein occlusion or stenosis
4. Proven malignancy including hepatocellular carcinoma 5. End-stage renal disease under renal replacement therapy; 6. Cardiorespiratory failure 7. Pregnancy or patients not giving informed consent for TIPS procedures"
Hypertension,Circadian Variations in Ocular Blood Flow in Glaucomatous and Normal Eyes,"Inclusion Criteria:

For the glaucoma patients:

* Medical controlled Primary Open Angle Glaucoma with a history of more than 2 years
* Topical medication with beta-blockers (timolol, betaxolol, levobunol)
* IOP with medication \< 22 mmHg (with a medical history of IOP \> 22 mmHg)
* Visual field testing: mild glaucomatous defects (Humphrey 30-2 with MD\>10)
* Optic nerve head: C/D-ratio between 0.4 and 0.9
* ametropy \< 3 dpt
* Normal findings in the medical history and physical examination unless the investigator considers an abnormality to be clinically irrelevant

For the age matched control subjects:

* Normal findings in the medical history and physical examination unless the investigator considers an abnormality to be clinically irrelevant
* Normal laboratory values unless the investigator considers an abnormality to be clinically irrelevant
* Normal ophthalmic findings, ametropy \< 3 dpt.

Exclusion Criteria:

For the glaucoma patients:

* History of trabeculectomy or laser trabeculoplasty
* Any other ocular disease with possible vascular involvement such as diabetic retinopathy, age related macular disease, retinal vein or artery occlusion.
* Uncontrolled systemic hypertension (defined as systolic blood pressure \> 170 mmHg or diastolic blood pressure \> 100 mmHg)
* Diabetes mellitus

For the age matched control subjects:

* abuse of alcoholic beverages, participation in a clinical trial in the 3 weeks preceding the study
* Symptoms of a clinically relevant illness in the 3 weeks before the first study day
* History or presence of gastrointestinal, liver or kidney disease
* Ametropy \> 3 dpt"
Hypertension,Hemodynamic Response After Six Months of Sildenafil,"Inclusion Criteria:

* Patients older than 15 years old with Pulmonary arterial hypertension according with WHO hemodynamic definition,
* Who signed informed consent,
* Able to swallow tablets and follow instructions.

Exclusion Criteria:

* Patients with pulmonary hypertension with other categories than pulmonary arterial hypertension (associated to COPD, lund diseases, sleep apnea, thromboembolic disease, hight altitude), patients asymptomatic, patients who were responders to adenosine during hemodynamic test, patients treated with specific treatments for pulmonary arterial hypertension before started the study such as sildenafil, prostanoids, endothelin receptors blockers."
Hypertension,Postpartum Low-Dose Aspirin and Preeclampsia,"Inclusion Criteria:

* Singleton or Multiple gestation
* Maternal age \>= 18 years
* 20 0/7 weeks gestation or greater
* Severe Preeclampsia diagnosed prior to delivery

Exclusion Criteria:

* Aspirin use postpartum for other medical indication
* Lovenox, unfractionated heparin, or other anticoagulant use postpartum for an indication other than postoperative (in-house)
* Aspirin use within 7 days of planned initial FMD testing postpartum
* Hypersensitivity or allergy to Aspirin or other salicylates
* Hypersensitivity or allergy to nonsteroidal anti-inflammatory drugs (NSAIDs) - exception if taking LDA in pregnancy
* Nasal polyps
* Gastric or Duodenal ulcers, history of GI bleeding
* Severe hepatic dysfunction
* Bleeding disorders and diathesis
* Breastfeeding a newborn with low platelets (NAIT)

For sub-study patients, inclusion and exclusion criteria will be the same, with the exception of diagnosis of severe preeclampsia prior to delivery (exclusion criterion for healthy controls group)."
Hypertension,"Positron Emission Tomography (PET) Imaging of Cholesterol Trafficking: Clinical Evaluation of [18F]FNP-59 in Normal Human Subjects (Groups 2, 3 & 4)","Inclusion Criteria (Groups 2 \& 3):

* Participants without any known adrenal pathology as normal controls for undergoing endocrine manipulation

Exclusion Criteria (Groups 2 \& 3):

* Pregnancy
* Unable to do imaging
* Body weight greater than 400 lbs (181 Kg)
* Prisoners are not eligible
* Subjects unable to provide own consent are not eligible
* Current use of steroids, Oral contraceptives (OCP), spironolactone, estrogen, androgen, progesterone, Angiotensin-converting enzyme (ACE inhibitors)/ Angiotensin II receptor blockers (ARBs), or supplements that are hormone analogues.
* Known adrenal pathology

Inclusion Criteria (Group 4):

* Abnormal adrenal cortical hormone secretion

Exclusion Criteria (Group 4):

* Pregnant"
